experience_id, description, video_path, tmp_path, experience_lexemes, notes
286,orangecup_20020809_down1R,./experiences/orangecup_20020809_down1R.avi,orangecup_20020809_down1R,hand putdown cup,3;shrunk
287,orangecup_20020809_down2R,./experiences/orangecup_20020809_down2R.avi,orangecup_20020809_down2R,hand putdown cup,4;shrunk
288,orangecup_20020809_pull1L,./experiences/orangecup_20020809_pull1L.avi,orangecup_20020809_pull1L,hand pull cup,3;drop
289,orangecup_20020809_pull1R,./experiences/orangecup_20020809_pull1R.avi,orangecup_20020809_pull1R,hand pull cup,3;drop
290,orangecup_20020809_pull2L,./experiences/orangecup_20020809_pull2L.avi,orangecup_20020809_pull2L,hand pull cup,4;drop
291,orangecup_20020809_pull2R,./experiences/orangecup_20020809_pull2R.avi,orangecup_20020809_pull2R,hand pull cup,3;drop
292,orangecup_20020809_push1L,./experiences/orangecup_20020809_push1L.avi,orangecup_20020809_push1L,hand push cup,3;drop
293,orangecup_20020809_push1R,./experiences/orangecup_20020809_push1R.avi,orangecup_20020809_push1R,hand push cup,4;drop
294,orangecup_20020809_push2L,./experiences/orangecup_20020809_push2L.avi,orangecup_20020809_push2L,hand push cup,4;drop
295,orangecup_20020809_push2R,./experiences/orangecup_20020809_push2R.avi,orangecup_20020809_push2R,hand push cup,4;drop
296,orangecup_20020809_tip1L,./experiences/orangecup_20020809_tip1L.avi,orangecup_20020809_tip1L,hand tipover cup,3;split
297,orangecup_20020809_tip1R,./experiences/orangecup_20020809_tip1R.avi,orangecup_20020809_tip1R,hand tipover cup,2;
298,orangecup_20020809_tip2L,./experiences/orangecup_20020809_tip2L.avi,orangecup_20020809_tip2L,hand tipover cup,3;split
299,orangecup_20020809_tip2R,./experiences/orangecup_20020809_tip2R.avi,orangecup_20020809_tip2R,hand tipover cup,3;split
300,orangecup_20020809_touch1L,./experiences/orangecup_20020809_touch1L.avi,orangecup_20020809_touch1L,hand touch cup,2;
301,orangecup_20020809_touch1R,./experiences/orangecup_20020809_touch1R.avi,orangecup_20020809_touch1R,hand touch cup,2;
302,orangecup_20020809_touch2L,./experiences/orangecup_20020809_touch2L.avi,orangecup_20020809_touch2L,hand touch cup,2;
303,orangecup_20020809_touch2R,./experiences/orangecup_20020809_touch2R.avi,orangecup_20020809_touch2R,hand touch cup,2;
304,orangecup_20020809_up1L,./experiences/orangecup_20020809_up1L.avi,orangecup_20020809_up1L,hand pickup cup,2;
305,orangecup_20020809_up1R,./experiences/orangecup_20020809_up1R.avi,orangecup_20020809_up1R,hand pickup cup,2;
306,orangecup_20020809_up2L,./experiences/orangecup_20020809_up2L.avi,orangecup_20020809_up2L,hand pickup cup,2;
307,orangecup_20020809_up2R,./experiences/orangecup_20020809_up2R.avi,orangecup_20020809_up2R,hand pickup cup,2;
308,rings_20020619_stack1R,./experiences/rings_20020619_stack1R.avi,rings_20020619_stack1R,hand stack rings,4;drop
309,rings_20020619_unstack1L,./experiences/rings_20020619_unstack1L.avi,rings_20020619_unstack1L,hand unstack rings,4;drop
310,rings_20020619_unstack1R,./experiences/rings_20020619_unstack1R.avi,rings_20020619_unstack1R,hand unstack rings,4;drop
311,rings_20020619_unstack2R,./experiences/rings_20020619_unstack2R.avi,rings_20020619_unstack2R,hand unstack rings,4;drop
220,greenbowl_20020809_drop2R,./experiences/greenbowl_20020809_drop2R.avi,greenbowl_20020809_drop2R,hand drop bowl,4;
221,greenbowl_20020809_pull1L,./experiences/greenbowl_20020809_pull1L.avi,greenbowl_20020809_pull1L,hand pull bowl,2;
222,greenbowl_20020809_pull1R,./experiences/greenbowl_20020809_pull1R.avi,greenbowl_20020809_pull1R,hand pull bowl,2;
223,greenbowl_20020809_pull2L,./experiences/greenbowl_20020809_pull2L.avi,greenbowl_20020809_pull2L,hand pull bowl,2;
224,greenbowl_20020809_pull2R,./experiences/greenbowl_20020809_pull2R.avi,greenbowl_20020809_pull2R,hand pull bowl,2;
225,greenbowl_20020809_push1L,./experiences/greenbowl_20020809_push1L.avi,greenbowl_20020809_push1L,hand push bowl,2;
226,greenbowl_20020809_push1R,./experiences/greenbowl_20020809_push1R.avi,greenbowl_20020809_push1R,hand push bowl,4;drop
227,greenbowl_20020809_push2L,./experiences/greenbowl_20020809_push2L.avi,greenbowl_20020809_push2L,hand push bowl,4;drop
228,greenbowl_20020809_push2R,./experiences/greenbowl_20020809_push2R.avi,greenbowl_20020809_push2R,hand push bowl,3;drop
229,greenbowl_20020809_touch1L,./experiences/greenbowl_20020809_touch1L.avi,greenbowl_20020809_touch1L,hand touch ring,2;
230,greenbowl_20020809_touch1R,./experiences/greenbowl_20020809_touch1R.avi,greenbowl_20020809_touch1R,hand touch ring,2;
231,greenbowl_20020809_touch2L,./experiences/greenbowl_20020809_touch2L.avi,greenbowl_20020809_touch2L,hand touch ring,2;
232,greenbowl_20020809_touch2R,./experiences/greenbowl_20020809_touch2R.avi,greenbowl_20020809_touch2R,hand touch ring,2;
233,greenbowl_20020809_up1L,./experiences/greenbowl_20020809_up1L.avi,greenbowl_20020809_up1L,hand pickup bowl,3;drop
234,greenbowl_20020809_up1R,./experiences/greenbowl_20020809_up1R.avi,greenbowl_20020809_up1R,hand pickup bowl,2;
235,greenring_20020619_down1L,./experiences/greenring_20020619_down1L.avi,greenring_20020619_down1L,hand putdown ring,4;
236,greenring_20020619_down1R,./experiences/greenring_20020619_down1R.avi,greenring_20020619_down1R,hand putdown ring,4;drop
237,greenring_20020619_down2L,./experiences/greenring_20020619_down2L.avi,greenring_20020619_down2L,hand putdown ring,4;
238,greenring_20020619_down2R,./experiences/greenring_20020619_down2R.avi,greenring_20020619_down2R,hand putdown ring,4;drop
239,greenring_20020619_drop1R,./experiences/greenring_20020619_drop1R.avi,greenring_20020619_drop1R,hand drop ring,3;drop
240,greenring_20020619_drop2R,./experiences/greenring_20020619_drop2R.avi,greenring_20020619_drop2R,hand drop ring,4;drop
241,greenring_20020619_drop3R,./experiences/greenring_20020619_drop3R.avi,greenring_20020619_drop3R,hand drop ring,4;drop
242,greenring_20020619_drop4R,./experiences/greenring_20020619_drop4R.avi,greenring_20020619_drop4R,hand drop ring,4;
243,greenring_20020619_pull1L,./experiences/greenring_20020619_pull1L.avi,greenring_20020619_pull1L,hand pull ring,2;
244,greenring_20020619_pull1R,./experiences/greenring_20020619_pull1R.avi,greenring_20020619_pull1R,hand pull ring,3;drop
245,greenring_20020619_slide1L,./experiences/greenring_20020619_slide1L.avi,greenring_20020619_slide1L,hand slide ring,2;
246,greenring_20020619_slide1R,./experiences/greenring_20020619_slide1R.avi,greenring_20020619_slide1R,hand slide ring,3;drop
247,greenring_20020619_tilt1L,./experiences/greenring_20020619_tilt1L.avi,greenring_20020619_tilt1L,hand tilt ring,2;
248,greenring_20020619_tilt1R,./experiences/greenring_20020619_tilt1R.avi,greenring_20020619_tilt1R,hand tilt ring,2;
249,greenring_20020619_tilt2L,./experiences/greenring_20020619_tilt2L.avi,greenring_20020619_tilt2L,hand tilt ring,2;
250,greenring_20020619_tilt2R,./experiences/greenring_20020619_tilt2R.avi,greenring_20020619_tilt2R,hand tilt ring,4;drop
251,greenring_20020619_tipover1L,./experiences/greenring_20020619_tipover1L.avi,greenring_20020619_tipover1L,hand tipover ring,2;
252,greenring_20020619_tipover1R,./experiences/greenring_20020619_tipover1R.avi,greenring_20020619_tipover1R,hand tipover ring,4;drop
253,greenring_20020619_tipover2L,./experiences/greenring_20020619_tipover2L.avi,greenring_20020619_tipover2L,hand tipover ring,2;
254,greenring_20020619_tipover2R,./experiences/greenring_20020619_tipover2R.avi,greenring_20020619_tipover2R,hand tipover ring,4;drop
255,greenring_20020619_touch1L,./experiences/greenring_20020619_touch1L.avi,greenring_20020619_touch1L,hand touch ring,2;
256,greenring_20020619_touch1R,./experiences/greenring_20020619_touch1R.avi,greenring_20020619_touch1R,hand touch ring,2;
257,greenring_20020619_touch2L,./experiences/greenring_20020619_touch2L.avi,greenring_20020619_touch2L,hand touch ring,2;
258,greenring_20020619_touch2R,./experiences/greenring_20020619_touch2R.avi,greenring_20020619_touch2R,hand touch ring,2;
259,greenring_20020619_up1L,./experiences/greenring_20020619_up1L.avi,greenring_20020619_up1L,hand pickup ring,2;
260,greenring_20020619_up1R,./experiences/greenring_20020619_up1R.avi,greenring_20020619_up1R,hand pickup ring,4;drop
261,greenring_20020619_up2L,./experiences/greenring_20020619_up2L.avi,greenring_20020619_up2L,hand pickup ring,4;
262,greenring_20020619_up2R,./experiences/greenring_20020619_up2R.avi,greenring_20020619_up2R,hand pickup ring,4;drop
263,greenring_20020619_up3L,./experiences/greenring_20020619_up3L.avi,greenring_20020619_up3L,hand pickup ring,4;
264,greenring_20020809_down1L,./experiences/greenring_20020809_down1L.avi,greenring_20020809_down1L,hand putdown ring,4;drop
265,greenring_20020809_down1R,./experiences/greenring_20020809_down1R.avi,greenring_20020809_down1R,hand putdown ring,3;drop
172,box_20020809_up1L,./experiences/box_20020809_up1L.avi,box_20020809_up1L,hand pickup box,2;
173,box_20020809_up1R,./experiences/box_20020809_up1R.avi,box_20020809_up1R,hand pickup box,2;
174,box_20020809_up2L,./experiences/box_20020809_up2L.avi,box_20020809_up2L,hand pickup box,2;
175,box_20020809_up2R,./experiences/box_20020809_up2R.avi,box_20020809_up2R,hand pickup box,2;
176,cup_20020619_down1L,./experiences/cup_20020619_down1L.avi,cup_20020619_down1L,hand putdown cup,2;
177,cup_20020619_down1R,./experiences/cup_20020619_down1R.avi,cup_20020619_down1R,hand putdown cup,4;drop
178,cup_20020619_down2L,./experiences/cup_20020619_down2L.avi,cup_20020619_down2L,hand putdown cup,2;
179,cup_20020619_down2R,./experiences/cup_20020619_down2R.avi,cup_20020619_down2R,hand putdown cup,4;drop
180,cup_20020619_pull1L,./experiences/cup_20020619_pull1L.avi,cup_20020619_pull1L,hand pull cup,2;
181,cup_20020619_pull1R,./experiences/cup_20020619_pull1R.avi,cup_20020619_pull1R,hand pull cup,4;drop
182,cup_20020619_slide1L,./experiences/cup_20020619_slide1L.avi,cup_20020619_slide1L,hand slide cup,3;drop
183,cup_20020619_slide1R,./experiences/cup_20020619_slide1R.avi,cup_20020619_slide1R,hand slide cup,3;drop
184,cup_20020619_slide2L,./experiences/cup_20020619_slide2L.avi,cup_20020619_slide2L,hand slide cup,2;
185,cup_20020619_tipover1L,./experiences/cup_20020619_tipover1L.avi,cup_20020619_tipover1L,hand tipover cup,2;
186,cup_20020619_tipover1R,./experiences/cup_20020619_tipover1R.avi,cup_20020619_tipover1R,hand tipover cup,2;
187,cup_20020619_tipover2L,./experiences/cup_20020619_tipover2L.avi,cup_20020619_tipover2L,hand tipover cup,2;
188,cup_20020619_tipover2R,./experiences/cup_20020619_tipover2R.avi,cup_20020619_tipover2R,hand tipover cup,2;
189,cup_20020619_touch1L,./experiences/cup_20020619_touch1L.avi,cup_20020619_touch1L,hand touch cup,2;
190,cup_20020619_touch1R,./experiences/cup_20020619_touch1R.avi,cup_20020619_touch1R,hand touch cup,2;
191,cup_20020619_touch2L,./experiences/cup_20020619_touch2L.avi,cup_20020619_touch2L,hand touch cup,2;
192,cup_20020619_touch2R,./experiences/cup_20020619_touch2R.avi,cup_20020619_touch2R,hand touch cup,2;
193,cup_20020619_up1L,./experiences/cup_20020619_up1L.avi,cup_20020619_up1L,hand pickup cup,2;
194,cup_20020619_up1R,./experiences/cup_20020619_up1R.avi,cup_20020619_up1R,hand pickup cup,2;
195,cup_20020619_up2L,./experiences/cup_20020619_up2L.avi,cup_20020619_up2L,hand pickup cup,2;
196,cup_20020619_up2R,./experiences/cup_20020619_up2R.avi,cup_20020619_up2R,hand pickup cup,3;drop
197,garfield_20020809_up1L,./experiences/garfield_20020809_up1L.avi,garfield_20020809_up1L,hand pickup garfield,3;split
198,garfield_20020809_down1L,./experiences/garfield_20020809_down1L.avi,garfield_20020809_down1L,hand putdown garfield,4;split
199,garfield_20020809_down1R,./experiences/garfield_20020809_down1R.avi,garfield_20020809_down1R,hand putdown garfield,4;split
200,garfield_20020809_down2L,./experiences/garfield_20020809_down2L.avi,garfield_20020809_down2L,hand putdown garfield,3;drop and split
201,garfield_20020809_down2R,./experiences/garfield_20020809_down2R.avi,garfield_20020809_down2R,hand putdown garfield,3;split
202,garfield_20020809_drop1L,./experiences/garfield_20020809_drop1L.avi,garfield_20020809_drop1L,hand drop garfield,3;split
203,garfield_20020809_drop1R,./experiences/garfield_20020809_drop1R.avi,garfield_20020809_drop1R,hand drop garfield,3;split
204,garfield_20020809_drop2L,./experiences/garfield_20020809_drop2L.avi,garfield_20020809_drop2L,hand drop garfield,3;split
205,garfield_20020809_drop2R,./experiences/garfield_20020809_drop2R.avi,garfield_20020809_drop2R,hand drop garfield,4;split
206,garfield_20020809_touch1L,./experiences/garfield_20020809_touch1L.avi,garfield_20020809_touch1L,hand touch garfield,3;split
207,garfield_20020809_touch1R,./experiences/garfield_20020809_touch1R.avi,garfield_20020809_touch1R,hand touch garfield,3;drop and split
208,garfield_20020809_touch2L,./experiences/garfield_20020809_touch2L.avi,garfield_20020809_touch2L,hand touch garfield,3;split
209,garfield_20020809_touch2R,./experiences/garfield_20020809_touch2R.avi,garfield_20020809_touch2R,hand touch garfield,3;split
210,garfield_20020809_up1R,./experiences/garfield_20020809_up1R.avi,garfield_20020809_up1R,hand pickup garfield,3;split
211,garfield_20020809_up2L,./experiences/garfield_20020809_up2L.avi,garfield_20020809_up2L,hand pickup garfield,3;drop and split
212,garfield_20020809_up2R,./experiences/garfield_20020809_up2R.avi,garfield_20020809_up2R,hand pickup garfield,3;split
213,greenbowl_20020809_down1L,./experiences/greenbowl_20020809_down1L.avi,greenbowl_20020809_down1L,hand putdown bowl,4;drop
214,greenbowl_20020809_down1R,./experiences/greenbowl_20020809_down1R.avi,greenbowl_20020809_down1R,hand putdown bowl,2;
215,greenbowl_20020809_down2L,./experiences/greenbowl_20020809_down2L.avi,greenbowl_20020809_down2L,hand putdown bowl,3;drop
216,greenbowl_20020809_down2R,./experiences/greenbowl_20020809_down2R.avi,greenbowl_20020809_down2R,hand putdown bowl,2;
217,greenbowl_20020809_drop1L,./experiences/greenbowl_20020809_drop1L.avi,greenbowl_20020809_drop1L,hand drop bowl,2;
218,greenbowl_20020809_drop1R,./experiences/greenbowl_20020809_drop1R.avi,greenbowl_20020809_drop1R,hand drop bowl,2;
219,greenbowl_20020809_drop2L,./experiences/greenbowl_20020809_drop2L.avi,greenbowl_20020809_drop2L,hand drop bowl,2;
121,book_20020809_slide1R,./experiences/book_20020809_slide1R.avi,book_20020809_slide1R,hand slide book,4;split
122,book_20020809_slide2L,./experiences/book_20020809_slide2L.avi,book_20020809_slide2L,hand slide book,3;split
123,book_20020809_slide2R,./experiences/book_20020809_slide2R.avi,book_20020809_slide2R,hand slide book,3;split
124,book_20020809_tilt1L,./experiences/book_20020809_tilt1L.avi,book_20020809_tilt1L,hand tipover book,4;split
125,book_20020809_tilt1R,./experiences/book_20020809_tilt1R.avi,book_20020809_tilt1R,hand tipover book,4;split
126,book_20020809_tilt2L,./experiences/book_20020809_tilt2L.avi,book_20020809_tilt2L,hand tipover book,4;split
127,book_20020809_tilt2R,./experiences/book_20020809_tilt2R.avi,book_20020809_tilt2R,hand tipover book,4;split
128,book_20020809_touch1L,./experiences/book_20020809_touch1L.avi,book_20020809_touch1L,hand touch book,4;
129,book_20020809_touch1R,./experiences/book_20020809_touch1R.avi,book_20020809_touch1R,hand touch book,3;split
130,book_20020809_touch2L,./experiences/book_20020809_touch2L.avi,book_20020809_touch2L,hand touch book,4;
131,book_20020809_touch2R,./experiences/book_20020809_touch2R.avi,book_20020809_touch2R,hand touch book,2;
132,book_20020809_up1L,./experiences/book_20020809_up1L.avi,book_20020809_up1L,hand pickup book,2;
133,book_20020809_up1R,./experiences/book_20020809_up1R.avi,book_20020809_up1R,hand pickup book,2;
134,book_20020809_up2L,./experiences/book_20020809_up2L.avi,book_20020809_up2L,hand pickup book,2;
135,book_20020809_up2R,./experiences/book_20020809_up2R.avi,book_20020809_up2R,hand pickup book,2;
136,box_20020619_down1L,./experiences/box_20020619_down1L.avi,box_20020619_down1L,hand putdown box,2;
137,box_20020619_down1R,./experiences/box_20020619_down1R.avi,box_20020619_down1R,hand putdown box,3;merge
138,box_20020619_down2L,./experiences/box_20020619_down2L.avi,box_20020619_down2L,hand putdown box,4;merge
139,box_20020619_down2R,./experiences/box_20020619_down2R.avi,box_20020619_down2R,hand putdown box,3;merge
140,box_20020619_pull1L,./experiences/box_20020619_pull1L.avi,box_20020619_pull1L,hand pull box,2;
141,box_20020619_pull1R,./experiences/box_20020619_pull1R.avi,box_20020619_pull1R,hand pull box,3;drop
142,box_20020619_slide1L,./experiences/box_20020619_slide1L.avi,box_20020619_slide1L,hand slide box,2;
143,box_20020619_slide1R,./experiences/box_20020619_slide1R.avi,box_20020619_slide1R,hand slide box,3;drop
144,box_20020619_tipover1L,./experiences/box_20020619_tipover1L.avi,box_20020619_tipover1L,hand tipover box,2;
145,box_20020619_tipover1R,./experiences/box_20020619_tipover1R.avi,box_20020619_tipover1R,hand tipover box,2;
146,box_20020619_tipover2L,./experiences/box_20020619_tipover2L.avi,box_20020619_tipover2L,hand tipover box,2;
147,box_20020619_tipover2R,./experiences/box_20020619_tipover2R.avi,box_20020619_tipover2R,hand tipover box,2;
148,box_20020619_touch1L,./experiences/box_20020619_touch1L.avi,box_20020619_touch1L,hand touch box,2;
149,box_20020619_touch1R,./experiences/box_20020619_touch1R.avi,box_20020619_touch1R,hand touch box,2;
150,box_20020619_touch2L,./experiences/box_20020619_touch2L.avi,box_20020619_touch2L,hand touch box,2;
151,box_20020619_touch2R,./experiences/box_20020619_touch2R.avi,box_20020619_touch2R,hand touch box,2;
152,box_20020619_up1L,./experiences/box_20020619_up1L.avi,box_20020619_up1L,hand pickup box,2;
153,box_20020619_up1R,./experiences/box_20020619_up1R.avi,box_20020619_up1R,hand pickup box,3;drop
154,box_20020619_up2L,./experiences/box_20020619_up2L.avi,box_20020619_up2L,hand pickup box,4;merge
155,box_20020619_up3L,./experiences/box_20020619_up3L.avi,box_20020619_up3L,hand pickup box,3;merge
156,box_20020809_down1L,./experiences/box_20020809_down1L.avi,box_20020809_down1L,hand putdown box,2;
157,box_20020809_down1R,./experiences/box_20020809_down1R.avi,box_20020809_down1R,hand putdown box,2;
158,box_20020809_down2L,./experiences/box_20020809_down2L.avi,box_20020809_down2L,hand putdown box,2;
159,box_20020809_down2R,./experiences/box_20020809_down2R.avi,box_20020809_down2R,hand putdown box,2;
160,box_20020809_drop1L,./experiences/box_20020809_drop1L.avi,box_20020809_drop1L,hand drop box,2;
161,box_20020809_drop1R,./experiences/box_20020809_drop1R.avi,box_20020809_drop1R,hand drop box,4;
162,box_20020809_drop2L,./experiences/box_20020809_drop2L.avi,box_20020809_drop2L,hand drop box,2;
163,box_20020809_drop2R,./experiences/box_20020809_drop2R.avi,box_20020809_drop2R,hand drop box,2;
164,box_20020809_push1L,./experiences/box_20020809_push1L.avi,box_20020809_push1L,hand push box,2;
165,box_20020809_push1R,./experiences/box_20020809_push1R.avi,box_20020809_push1R,hand push box,2;
166,box_20020809_push2L,./experiences/box_20020809_push2L.avi,box_20020809_push2L,hand push box,4;
167,box_20020809_push2R,./experiences/box_20020809_push2R.avi,box_20020809_push2R,hand push box,2;
168,box_20020809_touch1L,./experiences/box_20020809_touch1L.avi,box_20020809_touch1L,hand touch box,2;
169,box_20020809_touch1R,./experiences/box_20020809_touch1R.avi,box_20020809_touch1R,hand touch box,2;
170,box_20020809_touch2L,./experiences/box_20020809_touch2L.avi,box_20020809_touch2L,hand touch box,2;
171,box_20020809_touch2R,./experiences/box_20020809_touch2R.avi,box_20020809_touch2R,hand touch box,2;
74,bluering_20020619_tilt1L,./experiences/bluering_20020619_tilt1L.avi,bluering_20020619_tilt1L,hand tilt ring,2;
75,bluering_20020619_tilt1R,./experiences/bluering_20020619_tilt1R.avi,bluering_20020619_tilt1R,hand tilt ring,2;
76,bluering_20020619_tilt2L,./experiences/bluering_20020619_tilt2L.avi,bluering_20020619_tilt2L,hand tilt ring,2;
77,bluering_20020619_tilt2R,./experiences/bluering_20020619_tilt2R.avi,bluering_20020619_tilt2R,hand tilt ring,2;
78,bluering_20020619_tilt3R,./experiences/bluering_20020619_tilt3R.avi,bluering_20020619_tilt3R,hand tilt ring,4;
79,bluering_20020619_tipover1L,./experiences/bluering_20020619_tipover1L.avi,bluering_20020619_tipover1L,hand tipover ring,2;
80,bluering_20020619_tipover1R,./experiences/bluering_20020619_tipover1R.avi,bluering_20020619_tipover1R,hand tipover ring,2;
81,bluering_20020619_tipover2L,./experiences/bluering_20020619_tipover2L.avi,bluering_20020619_tipover2L,hand tipover ring,2;
82,bluering_20020619_tipover2R,./experiences/bluering_20020619_tipover2R.avi,bluering_20020619_tipover2R,hand tipover ring,2;
83,bluering_20020619_touch1L,./experiences/bluering_20020619_touch1L.avi,bluering_20020619_touch1L,hand touch ring,2;
84,bluering_20020619_touch1R,./experiences/bluering_20020619_touch1R.avi,bluering_20020619_touch1R,hand touch ring,2;
85,bluering_20020619_touch2L,./experiences/bluering_20020619_touch2L.avi,bluering_20020619_touch2L,hand touch ring,2;
86,bluering_20020619_touch3L,./experiences/bluering_20020619_touch3L.avi,bluering_20020619_touch3L,hand touch ring,2;
87,bluering_20020619_up1L,./experiences/bluering_20020619_up1L.avi,bluering_20020619_up1L,hand pickup ring,4;
88,bluering_20020619_up1R,./experiences/bluering_20020619_up1R.avi,bluering_20020619_up1R,hand pickup ring,4;
89,bluering_20020619_up2L,./experiences/bluering_20020619_up2L.avi,bluering_20020619_up2L,hand pickup ring,4;
90,bluering_20020619_up3L,./experiences/bluering_20020619_up3L.avi,bluering_20020619_up3L,hand pickup ring,2;
91,bluering_20020809_down1L,./experiences/bluering_20020809_down1L.avi,bluering_20020809_down1L,hand putdown ring,4;drop
92,bluering_20020809_down1R,./experiences/bluering_20020809_down1R.avi,bluering_20020809_down1R,hand putdown ring,4;drop
93,bluering_20020809_down2L,./experiences/bluering_20020809_down2L.avi,bluering_20020809_down2L,hand putdown ring,4;drop
94,bluering_20020809_down2R,./experiences/bluering_20020809_down2R.avi,bluering_20020809_down2R,hand putdown ring,4;drop
95,bluering_20020809_drop1L,./experiences/bluering_20020809_drop1L.avi,bluering_20020809_drop1L,hand drop ring,4;drop
96,bluering_20020809_drop1R,./experiences/bluering_20020809_drop1R.avi,bluering_20020809_drop1R,hand drop ring,4;drop
97,bluering_20020809_drop2L,./experiences/bluering_20020809_drop2L.avi,bluering_20020809_drop2L,hand drop ring,4;drop
98,bluering_20020809_drop2R,./experiences/bluering_20020809_drop2R.avi,bluering_20020809_drop2R,hand drop ring,4;drop
99,bluering_20020809_roll1L,./experiences/bluering_20020809_roll1L.avi,bluering_20020809_roll1L,hand roll ring,4;
100,bluering_20020809_roll1R,./experiences/bluering_20020809_roll1R.avi,bluering_20020809_roll1R,hand roll ring,4;drop
101,bluering_20020809_roll2L,./experiences/bluering_20020809_roll2L.avi,bluering_20020809_roll2L,hand roll ring,4;
102,bluering_20020809_roll2R,./experiences/bluering_20020809_roll2R.avi,bluering_20020809_roll2R,hand roll ring,3;drop
103,bluering_20020809_rollchaseL,./experiences/bluering_20020809_rollchaseL.avi,bluering_20020809_rollchaseL,hand roll ring,2;
104,bluering_20020809_touch1L,./experiences/bluering_20020809_touch1L.avi,bluering_20020809_touch1L,hand touch ring,4;drop
